Lp.,Zawodnik,Drużyna,Mecze,Celne rzuty za 3 suma,Celne rzuty za 3 śr.,Oddane rzuty za 3 suma,Oddane rzuty za 3 śr.,Skuteczność za 3
1,A.j. English,HydroTruck Radom ,7,26,3.7,59,8.4,44.1
2,Yannick Franke,Trefl Sopot ,7,22,3.1,52,7.4,42.3
3,Raymond Cowels III,Legia Warszawa ,6,21,3.5,47,7.8,44.7
4,James Florence,Arged BM Stal Ostrów Wlkp. ,7,20,2.9,48,6.9,41.7
5,Roberts Stumbris,GTK Gliwice ,7,20,2.9,36,5.1,55.6
6,Matthew Williams,GTK Gliwice ,7,20,2.9,61,8.7,32.8
7,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,18,2.6,54,7.7,33.3
8,Erick Neal,PGE Spójnia Stargard ,7,18,2.6,44,6.3,40.9
9,Paweł Kikowski,King Szczecin ,7,18,2.6,42,6,42.9
10,Devoe Joseph,Enea Zastal BC Zielona Góra ,7,18,2.6,41,5.9,43.9
11,Jonah Mathews,Anwil Włocławek ,7,17,2.4,46,6.6,37
12,Dominykas Domarkas,Enea Abramczyk Astoria Bydgoszcz ,7,15,2.1,35,5,42.9
13,Marek Klassen,Grupa Sierleccy Czarni Słupsk ,7,15,2.1,50,7.1,30
14,Anthony Ireland,HydroTruck Radom ,7,15,2.1,34,4.9,44.1
15,Jacobi Boykins,PGE Spójnia Stargard ,6,15,2.5,33,5.5,45.5
16,Luke Petrasek,Anwil Włocławek ,7,15,2.1,33,4.7,45.5
17,Tweety Carter,Polski Cukier Pszczółka Start Lublin ,7,14,2,41,5.9,34.1
18,Aaron Cel,Twarde Pierniki Toruń ,7,14,2,31,4.4,45.2
19,Jarosław Zyskowski,Enea Zastal BC Zielona Góra ,7,14,2,37,5.3,37.8
20,Jabarie Hinds,GTK Gliwice ,7,13,1.9,26,3.7,50
21,Bartłomiej Wołoszyn,Asseco Arka Gdynia ,6,13,2.2,37,6.2,35.1
22,Nicolas Moore,MKS Dąbrowa Górnicza ,7,13,1.9,35,5,37.1
23,Kerem Kanter,WKS Śląsk Wrocław ,8,13,1.6,26,3.3,50
24,Michael Moore,HydroTruck Radom ,8,13,1.6,42,5.3,31
25,Filip Małgorzaciak,MKS Dąbrowa Górnicza ,7,12,1.7,26,3.7,46.2
26,Paul Jorgensen,Enea Abramczyk Astoria Bydgoszcz ,7,12,1.7,34,4.9,35.3
27,Michael Young,Arged BM Stal Ostrów Wlkp. ,7,12,1.7,19,2.7,63.2
28,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,12,2,39,6.5,30.8
29,Kodi Justice,WKS Śląsk Wrocław ,8,12,1.5,39,4.9,30.8
30,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,11,1.6,23,3.3,47.8
31,Muhammad-Ali Abdur-Rahkman,Legia Warszawa ,6,11,1.8,28,4.7,39.3
32,Kamil Łączyński,Anwil Włocławek ,7,11,1.6,25,3.6,44
33,Sherron Dorsey-Walker,King Szczecin ,7,11,1.6,27,3.9,40.7
34,Jakub Musiał,Grupa Sierleccy Czarni Słupsk ,7,11,1.6,23,3.3,47.8
35,Branden Frazier,Enea Zastal BC Zielona Góra ,7,11,1.6,37,5.3,29.7
36,Michał Samsonowicz,Twarde Pierniki Toruń ,7,10,1.4,24,3.4,41.7
37,Denzel Andersson,Arged BM Stal Ostrów Wlkp. ,7,10,1.4,22,3.1,45.5
38,Filip Put,GTK Gliwice ,7,10,1.4,29,4.1,34.5
39,Karol Gruszecki,Trefl Sopot ,7,10,1.4,36,5.1,27.8
40,Jakub Schenk,King Szczecin ,7,10,1.4,35,5,28.6
41,Łukasz Kolenda,WKS Śląsk Wrocław ,8,10,1.3,24,3,41.7
42,Michał Kolenda,Trefl Sopot ,7,9,1.3,31,4.4,29
43,Alan Herndon,Enea Abramczyk Astoria Bydgoszcz ,7,9,1.3,19,2.7,47.4
44,Justin Bibbs,WKS Śląsk Wrocław ,4,9,2.3,21,5.3,42.9
45,Justin Gray,PGE Spójnia Stargard ,7,9,1.3,26,3.7,34.6
46,David Brembly,Enea Zastal BC Zielona Góra ,7,9,1.3,21,3,42.9
47,Damian Kulig,Arged BM Stal Ostrów Wlkp. ,7,9,1.3,21,3,42.9
48,James Bell,Anwil Włocławek ,7,9,1.3,27,3.9,33.3
49,Trey Drechsel,Arged BM Stal Ostrów Wlkp. ,7,9,1.3,30,4.3,30
50,Stacy Davis,King Szczecin ,7,9,1.3,25,3.6,36
51,Michael Lewis II,MKS Dąbrowa Górnicza ,7,8,1.1,23,3.3,34.8
52,Michał Kołodziej,Twarde Pierniki Toruń ,7,8,1.1,17,2.4,47.1
53,Grzegorz Kulka,Legia Warszawa ,6,8,1.3,17,2.8,47.1
54,Kacper Młynarski,PGE Spójnia Stargard ,7,8,1.1,34,4.9,23.5
55,Novak Musić,Asseco Arka Gdynia ,6,8,1.3,17,2.8,47.1
56,Filip Zegzuła,HydroTruck Radom ,8,8,1,23,2.9,34.8
57,Keyshawn Woods,GTK Gliwice ,5,8,1.6,20,4,40
58,Jakub Karolak,WKS Śląsk Wrocław ,7,8,1.1,20,2.9,40
59,Dominik Wilczek,Asseco Arka Gdynia ,6,8,1.3,21,3.5,38.1
60,Aleksander Lewandowski,HydroTruck Radom ,8,8,1,23,2.9,34.8
