Lp.,Zawodnik,Drużyna,Mecze,Celne rzuty za 3 suma,Celne rzuty za 3 śr.,Oddane rzuty za 3 suma,Oddane rzuty za 3 śr.,Skuteczność za 3
61,Łukasz Koszarek,Legia Warszawa ,6,8,1.3,21,3.5,38.1
62,Mateusz Dziemba,Polski Cukier Pszczółka Start Lublin ,7,8,1.1,26,3.7,30.8
63,Jahenns Manigat,Twarde Pierniki Toruń ,4,7,1.8,24,6,29.2
64,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,7,1,28,4,25
65,Mateusz Zębski,Enea Abramczyk Astoria Bydgoszcz ,7,7,1,15,2.1,46.7
66,Maurice Watson,Twarde Pierniki Toruń ,7,7,1,24,3.4,29.2
67,Michał Nowakowski,MKS Dąbrowa Górnicza ,7,6,0.9,20,2.9,30
68,Jake O'brien,PGE Spójnia Stargard ,7,6,0.9,27,3.9,22.2
69,Doron Lamb,Polski Cukier Pszczółka Start Lublin ,7,6,0.9,27,3.9,22.2
70,Bartosz Jankowski,"Asseco Arka Gdynia, Grupa Sierleccy Czarni Słupsk ",4,5,1.3,12,3,41.7
71,Mateusz Kostrzewski,Polski Cukier Pszczółka Start Lublin ,7,5,0.7,19,2.7,26.3
72,Joshua Sharkey,Polski Cukier Pszczółka Start Lublin ,7,5,0.7,20,2.9,25
73,Jarosław Mokros,Arged BM Stal Ostrów Wlkp. ,7,5,0.7,16,2.3,31.3
74,Ivan Ramljak,WKS Śląsk Wrocław ,6,5,0.8,20,3.3,25
75,Michał Chyliński,Enea Abramczyk Astoria Bydgoszcz ,6,5,0.8,17,2.8,29.4
76,Kyndall Dykes,Anwil Włocławek ,7,5,0.7,22,3.1,22.7
77,Marcin Piechowicz,MKS Dąbrowa Górnicza ,5,5,1,18,3.6,27.8
78,Andrzej Pluta,Enea Abramczyk Astoria Bydgoszcz ,7,5,0.7,20,2.9,25
79,Filip Matczak,King Szczecin ,7,5,0.7,16,2.3,31.3
80,Michał Krasuski,Enea Abramczyk Astoria Bydgoszcz ,7,5,0.7,17,2.4,29.4
81,Daniel Szymkiewicz,PGE Spójnia Stargard ,6,4,0.7,16,2.7,25
82,Derrick Fenner Jr,MKS Dąbrowa Górnicza ,4,4,1,17,4.3,23.5
83,Bartosz Diduszko,Twarde Pierniki Toruń ,7,4,0.6,15,2.1,26.7
84,Alan Czujkowski,MKS Dąbrowa Górnicza ,7,4,0.6,17,2.4,23.5
85,Grzegorz Kamiński,Legia Warszawa ,6,4,0.7,16,2.7,25
86,Jakub Nizioł,Enea Abramczyk Astoria Bydgoszcz ,7,4,0.6,19,2.7,21.1
87,Filip Dylewicz,Asseco Arka Gdynia ,4,4,1,13,3.3,30.8
88,Strahinja Jovanović,WKS Śląsk Wrocław ,8,4,0.5,22,2.8,18.2
89,James Eads III,Twarde Pierniki Toruń ,7,4,0.6,21,3,19
90,Nikola Mišković,Asseco Arka Gdynia ,4,3,0.8,18,4.5,16.7
91,Jure Škifić,Legia Warszawa ,6,3,0.5,16,2.7,18.8
