Lp.,Zawodnik,Drużyna,Mecze,Celne rzuty za 2 suma,Celne rzuty za 2 śr.,Oddane rzuty za 2 suma,Oddane rzuty za 2 śr.,Skuteczność za 2
66,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,15,2.1,25,3.6,60
67,Adam Hrycaniuk,Asseco Arka Gdynia ,6,15,2.5,38,6.3,39.5
68,Andrzej Mazurczak,Enea Zastal BC Zielona Góra ,7,15,2.1,25,3.6,60
69,Daniel Szymkiewicz,PGE Spójnia Stargard ,6,14,2.3,34,5.7,41.2
70,James Florence,Arged BM Stal Ostrów Wlkp. ,7,14,2,22,3.1,63.6
71,Mateusz Bartosz,King Szczecin ,5,14,2.8,21,4.2,66.7
72,Keyshawn Woods,GTK Gliwice ,5,14,2.8,29,5.8,48.3
73,Dawid Słupiński,Grupa Sierleccy Czarni Słupsk ,7,13,1.9,21,3,61.9
74,Łukasz Kolenda,WKS Śląsk Wrocław ,8,13,1.6,29,3.6,44.8
75,Adam Kemp,Legia Warszawa ,6,13,2.2,19,3.2,68.4
76,Tomasz Śnieg,PGE Spójnia Stargard ,7,13,1.9,28,4,46.4
77,Michał Chyliński,Enea Abramczyk Astoria Bydgoszcz ,6,12,2,15,2.5,80
78,Quenton De Cosey,Polski Cukier Pszczółka Start Lublin ,7,12,1.7,25,3.6,48
79,Tweety Carter,Polski Cukier Pszczółka Start Lublin ,7,12,1.7,23,3.3,52.2
80,Trey Drechsel,Arged BM Stal Ostrów Wlkp. ,7,12,1.7,29,4.1,41.4
81,Dariusz Wyka,Legia Warszawa ,6,11,1.8,17,2.8,64.7
82,Aleksander Lewandowski,HydroTruck Radom ,8,11,1.4,17,2.1,64.7
83,Branden Frazier,Enea Zastal BC Zielona Góra ,7,11,1.6,20,2.9,55
84,Nicolas Moore,MKS Dąbrowa Górnicza ,7,11,1.6,31,4.4,35.5
85,Jure Škifić,Legia Warszawa ,6,11,1.8,29,4.8,37.9
86,Kacper Młynarski,PGE Spójnia Stargard ,7,11,1.6,25,3.6,44
87,Denzel Andersson,Arged BM Stal Ostrów Wlkp. ,7,11,1.6,21,3,52.4
88,Krzysztof Sulima,Enea Zastal BC Zielona Góra ,7,11,1.6,21,3,52.4
89,Devoe Joseph,Enea Zastal BC Zielona Góra ,7,10,1.4,22,3.1,45.5
