Lp.,Zawodnik,Drużyna,Mecze,Straty suma,Straty śr.
80,Sherron Dorsey-Walker,King Szczecin ,7,8,1.14
81,Adrian Bogucki,Asseco Arka Gdynia ,6,8,1.33
82,Djoko Šalić,King Szczecin ,7,8,1.14
83,Raymond Cowels III,Legia Warszawa ,6,8,1.33
84,Jake O'brien,PGE Spójnia Stargard ,7,8,1.14
85,James Bell,Anwil Włocławek ,7,8,1.14
86,Kamil Łączyński,Anwil Włocławek ,7,8,1.14
87,Jacobi Boykins,PGE Spójnia Stargard ,6,8,1.33
88,Luke Petrasek,Anwil Włocławek ,7,8,1.14
89,Aaron Cel,Twarde Pierniki Toruń ,7,8,1.14
90,Jarosław Zyskowski,Enea Zastal BC Zielona Góra ,7,7,1
91,Grzegorz Kamiński,Legia Warszawa ,6,7,1.17
92,Filip Zegzuła,HydroTruck Radom ,8,7,0.88
93,Bartosz Diduszko,Twarde Pierniki Toruń ,7,7,1
94,Jahenns Manigat,Twarde Pierniki Toruń ,4,7,1.75
95,Michał Kołodziej,Twarde Pierniki Toruń ,7,7,1
96,Wojciech Tomaszewski,Asseco Arka Gdynia ,6,6,1
97,Justin Bibbs,WKS Śląsk Wrocław ,4,6,1.5
98,Aleksander Lewandowski,HydroTruck Radom ,8,6,0.75
99,Tony Meier,Enea Zastal BC Zielona Góra ,6,6,1
100,Mateusz Szlachetka,Trefl Sopot ,7,6,0.86
101,Daniel Gołębiowski,GTK Gliwice ,4,6,1.5
102,Paweł Kikowski,King Szczecin ,7,6,0.86
103,Grzegorz Kulka,Legia Warszawa ,6,6,1
104,Alex Olesinski,Anwil Włocławek ,7,5,0.71
105,Darious Moten,Trefl Sopot ,7,5,0.71
106,Michał Krasuski,Enea Abramczyk Astoria Bydgoszcz ,7,5,0.71
107,David Brembly,Enea Zastal BC Zielona Góra ,7,5,0.71
108,Thomas Davis,Polski Cukier Pszczółka Start Lublin ,4,5,1.25
109,Dariusz Wyka,Legia Warszawa ,6,5,0.83
110,Kalif Young,Grupa Sierleccy Czarni Słupsk ,7,5,0.71
111,Adam Kemp,Legia Warszawa ,6,5,0.83
112,Filip Małgorzaciak,MKS Dąbrowa Górnicza ,7,5,0.71
113,Filip Dylewicz,Asseco Arka Gdynia ,4,5,1.25
114,Denzel Andersson,Arged BM Stal Ostrów Wlkp. ,7,4,0.57
115,Evangelos Mantzaris,Arged BM Stal Ostrów Wlkp. ,4,4,1
116,Andrzej Mazurczak,Enea Zastal BC Zielona Góra ,7,4,0.57
117,Jure Škifić,Legia Warszawa ,6,4,0.67
118,Maciej Bojanowski,Anwil Włocławek ,6,4,0.67
119,James Eads III,Twarde Pierniki Toruń ,7,4,0.57
120,Marcin Piechowicz,MKS Dąbrowa Górnicza ,5,4,0.8
121,Jakub Karolak,WKS Śląsk Wrocław ,7,4,0.57
122,Jakub Motylewski,MKS Dąbrowa Górnicza ,5,4,0.8
123,Lamonte Turner,Asseco Arka Gdynia ,3,4,1.33
124,Jakub Zalewski,HydroTruck Radom ,4,4,1
125,Ivan Ramljak,WKS Śląsk Wrocław ,6,4,0.67
126,Dominik Wilczek,Asseco Arka Gdynia ,6,4,0.67
127,Matthew Williams,GTK Gliwice ,7,3,0.43
128,Derrick Fenner Jr,MKS Dąbrowa Górnicza ,4,3,0.75
129,Szymon Szymański,GTK Gliwice ,4,3,0.75
130,Paul Jorgensen,Enea Abramczyk Astoria Bydgoszcz ,7,3,0.43
131,Mateusz Bartosz,King Szczecin ,5,3,0.6
132,Michał Samsonowicz,Twarde Pierniki Toruń ,7,3,0.43
133,Michał Aleksandrowicz,Enea Abramczyk Astoria Bydgoszcz ,6,3,0.5
134,Piotr Niedźwiedzki,PGE Spójnia Stargard ,6,3,0.5
135,Bartłomiej Pelczar,Polski Cukier Pszczółka Start Lublin ,7,3,0.43
136,Sebastian Kowalczyk,Anwil Włocławek ,7,3,0.43
137,Damian Jeszke,Polski Cukier Pszczółka Start Lublin ,6,3,0.5
138,DeAndre Davis,Trefl Sopot ,4,2,0.5
139,Milivoje Mijović,MKS Dąbrowa Górnicza ,7,2,0.29
140,Daniel Wall,HydroTruck Radom ,8,2,0.25
141,Michał Gabiński,WKS Śląsk Wrocław ,4,2,0.5
142,Roman Szymański,Polski Cukier Pszczółka Start Lublin ,7,2,0.29
143,Maciej Kucharek,Grupa Sierleccy Czarni Słupsk ,4,2,0.5
144,Mateusz Kaszowski,Asseco Arka Gdynia ,4,2,0.5
145,Marcin Woroniecki,Anwil Włocławek ,6,2,0.33
146,Krzysztof Sulima,Enea Zastal BC Zielona Góra ,7,2,0.29
147,Bartosz Jankowski,"Asseco Arka Gdynia, Grupa Sierleccy Czarni Słupsk ",4,2,0.5
148,Szymon Szmit,PGE Spójnia Stargard ,5,2,0.4
149,Jarosław Mokros,Arged BM Stal Ostrów Wlkp. ,7,2,0.29
150,Dawid Słupiński,Grupa Sierleccy Czarni Słupsk ,7,2,0.29
151,Alan Czujkowski,MKS Dąbrowa Górnicza ,7,1,0.14
152,Szymon Janczak,Twarde Pierniki Toruń ,7,1,0.14
153,Błażej Kulikowski,Grupa Sierleccy Czarni Słupsk ,6,1,0.17
154,Olaf Perzanowski,Asseco Arka Gdynia ,6,1,0.17
155,Adrian Kordalski,Grupa Sierleccy Czarni Słupsk ,4,1,0.25
156,Michał Kroczak,King Szczecin ,7,1,0.14
157,Rafał Komenda,Anwil Włocławek ,4,0,0
158,Igor Wadowski,Arged BM Stal Ostrów Wlkp. ,6,0,0
159,Szymon Kołakowski,Legia Warszawa ,4,0,0
