Lp.,Zawodnik,Drużyna,Mecze,Punkty suma,Punkty śr.
109,Quenton De Cosey,Polski Cukier Pszczółka Start Lublin ,7,35,5
110,Adam Kemp,Legia Warszawa ,6,34,5.67
111,Dawid Słupiński,Grupa Sierleccy Czarni Słupsk ,7,33,4.71
112,Filip Dylewicz,Asseco Arka Gdynia ,4,33,8.25
113,Dariusz Wyka,Legia Warszawa ,6,33,5.5
114,Mateusz Szlachetka,Trefl Sopot ,7,33,4.71
115,Michał Nowakowski,MKS Dąbrowa Górnicza ,7,32,4.57
116,Krzysztof Sulima,Enea Zastal BC Zielona Góra ,7,32,4.57
117,Mateusz Bartosz,King Szczecin ,5,32,6.4
118,Grzegorz Kamiński,Legia Warszawa ,6,31,5.17
119,Paweł Dzierżak,HydroTruck Radom ,8,29,3.63
120,Bartosz Jankowski,"Asseco Arka Gdynia, Grupa Sierleccy Czarni Słupsk ",4,29,7.25
121,Tony Meier,Enea Zastal BC Zielona Góra ,6,28,4.67
122,Nikola Mišković,Asseco Arka Gdynia ,4,25,6.25
123,DeAndre Davis,Trefl Sopot ,4,24,6
124,Jarosław Mokros,Arged BM Stal Ostrów Wlkp. ,7,20,2.86
125,Evangelos Mantzaris,Arged BM Stal Ostrów Wlkp. ,4,20,5
126,Aleksander Wiśniewski,GTK Gliwice ,7,20,2.86
127,Wojciech Tomaszewski,Asseco Arka Gdynia ,6,19,3.17
128,Michał Krasuski,Enea Abramczyk Astoria Bydgoszcz ,7,19,2.71
129,Roman Szymański,Polski Cukier Pszczółka Start Lublin ,7,19,2.71
130,Marcin Piechowicz,MKS Dąbrowa Górnicza ,5,19,3.8
131,Daniel Gołębiowski,GTK Gliwice ,4,18,4.5
132,Maciej Kucharek,Grupa Sierleccy Czarni Słupsk ,4,18,4.5
133,Damian Jeszke,Polski Cukier Pszczółka Start Lublin ,6,16,2.67
134,Alan Czujkowski,MKS Dąbrowa Górnicza ,7,16,2.29
135,Thomas Davis,Polski Cukier Pszczółka Start Lublin ,4,16,4
136,Maciej Bojanowski,Anwil Włocławek ,6,15,2.5
137,Szymon Szymański,GTK Gliwice ,4,15,3.75
138,Markus Lončar,Enea Abramczyk Astoria Bydgoszcz ,6,14,2.33
139,Jakub Motylewski,MKS Dąbrowa Górnicza ,5,13,2.6
140,Lamonte Turner,Asseco Arka Gdynia ,3,13,4.33
141,Piotr Niedźwiedzki,PGE Spójnia Stargard ,6,12,2
142,Szymon Janczak,Twarde Pierniki Toruń ,7,12,1.71
143,Alex Olesinski,Anwil Włocławek ,7,11,1.57
144,Sebastian Kowalczyk,Anwil Włocławek ,7,10,1.43
145,Daniel Wall,HydroTruck Radom ,8,10,1.25
146,Olaf Perzanowski,Asseco Arka Gdynia ,6,10,1.67
147,Igor Wadowski,Arged BM Stal Ostrów Wlkp. ,6,8,1.33
148,Bartłomiej Pelczar,Polski Cukier Pszczółka Start Lublin ,7,6,0.86
149,Michał Kroczak,King Szczecin ,7,6,0.86
150,Jakub Zalewski,HydroTruck Radom ,4,6,1.5
151,Michał Aleksandrowicz,Enea Abramczyk Astoria Bydgoszcz ,6,5,0.83
152,Michał Gabiński,WKS Śląsk Wrocław ,4,4,1
153,Mateusz Kaszowski,Asseco Arka Gdynia ,4,2,0.5
154,Szymon Szmit,PGE Spójnia Stargard ,5,2,0.4
155,Błażej Kulikowski,Grupa Sierleccy Czarni Słupsk ,6,1,0.17
156,Rafał Komenda,Anwil Włocławek ,4,0,0
157,Szymon Kołakowski,Legia Warszawa ,4,0,0
158,Marcin Woroniecki,Anwil Włocławek ,6,0,0
159,Adrian Kordalski,Grupa Sierleccy Czarni Słupsk ,4,0,0
